"","binomial","eq","bm","brm","diet","habitus","suborder","new","bin"
"1","Abeomelomys_sevia",1.25222596997502,4.1174098351531,0.434143263794659,"frugivorous","arboreal","Myomorpha","Old","<100"
"2","Abrocoma_bennettii",0.813221581010629,5.7037824746562,1.19224834062938,"folivorous","saxicolous","Hystricomorpha","New","100-1000"
"3","Abrothrix_olivaceus",0.910478029390309,3.45663208855026,-0.415515443961666,"omnivorous","terrestrial","Myomorpha","New","<100"
"4","Acomys_cahirinus",0.916348107077462,3.62639036300927,-0.284751780318234,"omnivorous","terrestrial","Myomorpha","Modified","<100"
"5","Acomys_dimidiatus",1.03622341809414,3.72709949017494,-0.0802508826710188,"omnivorous","terrestrial","Myomorpha","New","<100"
"6","Acomys_spinosissimus",1.19553928346357,3.05427922824125,-0.446409187844506,"omnivorous","terrestrial","Myomorpha","New","<100"
"7","Acomys_wilsoni",1.19859348736846,2.91777073208428,-0.509360031604381,"omnivorous","terrestrial","Myomorpha","Old","<100"
"8","Aconaemys_porteri",0.70398799035013,4.88529880278496,0.434143263794659,"folivorous","semifossorial","Hystricomorpha","New","100-1000"
"9","Aconaemys_sagei",0.766648974652777,4.75359019110636,0.420629544627936,"folivorous","semifossorial","Hystricomorpha","New","100-1000"
"10","Aeromys_tephromelas",0.947667161136385,7.14064639481787,2.42287387476423,"frugivorous","gliding","Sciuromorpha","Modified",">1000"
"11","Aeromys_thomasi",0.859834242406584,7.37775890822787,2.46809953147162,"frugivorous","gliding","Sciuromorpha","New",">1000"
"12","Aethomys_chrysophilus",0.848984571081513,4.08439138124394,-0.0342938459758809,"granivorous","terrestrial","Myomorpha","Modified","<100"
"13","Aethomys_hindei",0.622268498727093,4.98565930802608,0.386024015450461,"granivorous","arboreal","Myomorpha","Old","100-1000"
"14","Aethomys_namaquensis",0.846028891895538,3.88958484060655,-0.177473143684017,"granivorous","arboreal","Myomorpha","Modified","<100"
"15","Akodon_azarae",1.05852894451076,3.2188758248682,-0.443166975292176,"omnivorous","terrestrial","Myomorpha","Old","<100"
"16","Allactaga_elater",1.36476882842449,3.71600812150219,0.183787148955565,"granivorous","saltatorial","Myomorpha","New","<100"
"17","Allactaga_sibirica",1.35102971426003,4.7001721843042,0.895949164594897,"granivorous","saltatorial","Myomorpha","Modified","100-1000"
"18","Ammospermophilus_harrisii",1.33120109295988,4.67422972191959,0.912917047395016,"omnivorous","terrestrial","Sciuromorpha","Old","100-1000"
"19","Ammospermophilus_insularis",1.46468658177104,4.62487476926243,0.971460503007626,"omnivorous","terrestrial","Sciuromorpha","Old","100-1000"
"20","Ammospermophilus_interpres",1.52111221307951,4.54807059394752,0.951657875711446,"omnivorous","terrestrial","Sciuromorpha","Old","<100"
"21","Ammospermophilus_leucurus",1.25686052903526,4.66202299758087,0.84629736005362,"omnivorous","terrestrial","Sciuromorpha","Old","100-1000"
"22","Ammospermophilus_nelsoni",1.17219211792676,4.96749281909999,0.999303874621872,"omnivorous","terrestrial","Sciuromorpha","Modified","100-1000"
"23","Anomalurus_beecrofti",1.19178032179398,6.14059005900849,1.86631657350193,"folivorous","gliding","Anomaluromorpha","New","100-1000"
"24","Anomalurus_derbianus",0.873631379018583,6.59304453414244,1.9308497890138,"folivorous","gliding","Anomaluromorpha","New","100-1000"
"25","Anomalurus_pelii",0.590483413226177,7.40853056689463,2.15074733589761,"folivorous","gliding","Anomaluromorpha","New",">1000"
"26","Anomalurus_pusillus",0.998449734287903,5.13579843705026,0.936093359170335,"folivorous","gliding","Anomaluromorpha","New","100-1000"
"27","Aplodontia_rufa",0.91380605990179,6.72169461198122,2.03574804967852,"folivorous","semifossorial","Sciuromorpha","Modified","100-1000"
"28","Apodemus_agrarius",0.909633837216731,3.37135186667657,-0.482149975530258,"granivorous","terrestrial","Myomorpha","Modified","<100"
"29","Apodemus_flavicollis",1.06533668775072,3.42021829174551,-0.277377807955811,"omnivorous","terrestrial","Myomorpha","Modified","<100"
"30","Apodemus_sylvaticus",1.15280646682738,3.08727658237955,-0.456658743001481,"granivorous","terrestrial","Myomorpha","Modified","<100"
"31","Arborimus_albipes",1.26671191985128,2.79728133483015,-0.544451351415651,"folivorous","arboreal","Myomorpha","New","<100"
"32","Arborimus_longicaudus",0.921809815358285,3.01553490085017,-0.698602031242909,"folivorous","arboreal","Myomorpha","New","<100"
"33","Arvicanthis_niloticus",0.513452254441891,4.61099117025505,-0.123390360540182,"folivorous","terrestrial","Myomorpha","Modified","100-1000"
"34","Arvicola_amphibius",0.703878509521478,5.05909985365769,0.538479482519829,"folivorous","semiaquatic","Myomorpha","Modified","100-1000"
"35","Atherurus_africanus",0.959129296064556,8.05595106783908,3.12139705537206,"frugivorous","terrestrial","Hystricomorpha","Modified",">1000"
"36","Atherurus_macrourus",0.702165971845744,8.23561380311621,2.94428802040432,"frugivorous","terrestrial","Hystricomorpha","Modified",">1000"
"37","Atlantoxerus_getulus",1.1517643902008,5.52545293913178,1.40654786714713,"frugivorous","semifossorial","Sciuromorpha","New","100-1000"
"38","Bathyergus_janetta",0.573309107794853,5.59098698051086,0.72270598280149,"rhizophagous","fossorial","Hystricomorpha","New","100-1000"
"39","Bathyergus_suillus",0.375923351176133,6.91739921632712,1.30354080835774,"rhizophagous","fossorial","Hystricomorpha","Modified",">1000"
"40","Beamys_hindei",0.701729690623002,4.49702802736839,0.139727159161534,"granivorous","terrestrial","Myomorpha","Old","<100"
"41","Berylmys_bowersi",0.899796862957148,5.88804658790949,1.39624469197306,"omnivorous","arboreal","Myomorpha","Old","100-1000"
