"","species","x","y"
"290","Phataginus_tricuspis",21.41,3401.94
"291","Philander_frenatus",11.93,450
"292","Phyllotis_xanthopygus",6.91,43.2
"293","Procolobus_badius",26.20571429,8000
"294","Pithecia_monachus",21.43333333,2220
"295","Pongo_abelii",49.44,64000
"296","Pongo_pygmaeus",46.69,45000
"297","Potamochoerus_porcus",49.15,48517.5
"298","Potamogale_velox",15.74,507.5
"299","Potorous_tridactylus",16.17,1420
"300","Potos_flavus",19.4,2144.62
"301","Presbytis_melalophos",24.37625,6391.25
"302","Prionailurus_planiceps",21.8,2279.42
"303","Prionailurus_viverrinus",27.44,7166.76
"304","Prionodon_linsang",14.94,633.25
"305","Procavia_capensis",18.44,2585.48
"306","Procolobus_verus",24.0775,4425
"307","Procyon_lotor",24.62,5227.65
"308","Proteles_cristata",28.63,6690.49
"309","Protoxerus_aubinnii",13.41,475
"310","Pseudocheirus_peregrinus",12.27,977.78
"311","Pudu_puda",28.48,8005.71
"312","Puma_concolor",40.54,44574.41
"313","Pygathrix_nemaeus",28.925,10500
"314","Rangifer_tarandus",84.91,240000
"315","Raphicerus_campestris",27.28,10545.45
"316","Ratufa_affinis",15.602,1090
"317","Ratufa_bicolor",17.12166667,1516.666667
"318","Redunca_arundinum",48.27,49101.33
"319","Reithrodontomys_fulvescens",5.15,10.8
"320","Reithrodontomys_megalotis",4.93,11.04
"321","Rhipidomys_mastacalis",7.55,69.06
"322","Rhynchocyon_cirnei",15.08,492.5
"323","Saguinus_midas",13.63625,546.25
"324","Sapajus_apella",22.55555556,2652.222222
"325","Sarcophilus_harrisii",24.59,6667.18
"326","Sciurus_aberti",13.97,586.5
"327","Sciurus_niger",15.05,696.96
"328","Scutisorex_somereni",7.34,51.5
"329","Setifer_setosus",10,166.25
"330","Sigmodon_hispidus",7.46,130.47
"331","Simias_concolor",29.185,8000
"332","Sorex_cinereus",4.28,4.68
"333","Sorex_fumeus",4.56,7.93
"334","Sorex_hoyi",3.69,3.27
"335","Sorex_longirostris",3.92,3.05
"336","Sorex_pacificus",4.93,9.53
"337","Sorex_palustris",5.32,11.27
"338","Speothos_venaticus",25.26,6658
"339","Spilocuscus_maculatus",18.06,2700
"340","Spilogale_gracilis",13.46,499.06
"341","Spilogale_putorius",12.52,350.25
"342","Spilogale_pygmaea",11.63,208.57
"343","Suncus_murinus",6.44,33.61
"344","Suricata_suricatta",14.42,655.89
"345","Sus_scrofa",57.95,93891.33
"346","Sylvilagus_aquaticus",17.47,2265
"347","Sylvilagus_floridanus",13.78,1263.07
"348","Sylvilagus_palustris",14.67,1227.13
"349","Sylvisorex_morio",4.86,7.8
"350","Symphalangus_syndactylus",31,10770
"351","Tachyglossus_aculeatus",24.56,1967.31
"352","Tamandua_tetradactyla",22.32,3516.67
"353","Tamias_amoenus",7.53,51.84
"354","Tamias_quadrivittatus",7.17,53
"355","Tamias_striatus",8.64,91.33
"356","Tamiasciurus_hudsonicus",11.03,220.46
"357","Tapirus_bairdii",84.78,272155
"358","Tapirus_indicus",89.84,308100
"359","Tapirus_terrestris",74.67,230000
"360","Tarsipes_rostratus",4.62,9.31
"361","Taxidea_taxus",32.05,5853.81
"362","Tayassu_pecari",38.92,23342.68
"363","Thomomys_bottae",7.95,165.7
"364","Thylacinus_cynocephalus",34.99,14970
"365","Thylamys_elegans",6.46,24.18
"366","Thylamys_pallidior",5.97,20.6
"367","Thylamys_sponsorius",6.35,21.2
"368","Thylamys_velutinus",5.98,25.95
"369","Thylamys_venustus",6.6,29
"370","Thylogale_billardierii",21.45,3517
"371","Tlacuatzin_canescens",6.56,21.39
"372","Tolypeutes_matacus",17.79,1031.5
"373","Trachypithecus_cristatus",26.63727273,6435.454545
"374","Tragelaphus_eurycerus",96.55,315000
"375","Tragelaphus_spekii",69.12,95740
"376","Tragulus_javanicus",21.86,3790
"377","Tragulus_kanchil",19.49,1266.45
"378","Tragulus_napu",21.06,2120.33
"379","Tremarctos_ornatus",53.18,147084.29
"380","Trichosurus_vulpecula",17.12,1632.17
"381","Tupaia_dorsalis",9.67,84
"382","Tupaia_glis",10.64,139.43
"383","Tupaia_minor",8.31,54
"384","Urocitellus_beldingi",10.7,222.26
"385","Urocitellus_brunneus",9.25,194.9
"386","Urocitellus_columbianus",12.25,619.94
"387","Urocitellus_elegans",10.5,250.47
"388","Urocyon_cinereoargenteus",23.88,4028.04
"389","Urocyon_littoralis",21.41,2267.96
"390","Ursus_americanus",54.79,109751.94
"391","Ursus_arctos",62.57,139071.31
"392","Ursus_maritimus",78.44,249476
"393","Vicugna_vicugna",45.32,97600
"394","Viverra_tangalunga",21.8,5200
"395","Viverricula_indica",17.79,1550
"396","Vombatus_ursinus",40.64,21057
"397","Vulpes_macrotis",21.25,2678
"398","Vulpes_velox",20.99,2272.65
"399","Vulpes_vulpes",24,3869
"400","Wallabia_bicolor",25.5,12200
"401","Xerus_rutilus",13.03,405
"402","Zaedyus_pichiy",19.31,850
"403","Zaglossus_bruijnii",31.9,3302.719444
"404","Zapus_hudsonius",5.42,15.85
